timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/29 19:29:49.401, 0 %, 0 %, 3 MiB, 46068 MiB, 32.07 W
2026/03/29 19:29:59.401, 0 %, 0 %, 3 MiB, 46068 MiB, 31.93 W
2026/03/29 19:30:09.402, 0 %, 0 %, 3 MiB, 46068 MiB, 31.70 W
2026/03/29 19:30:19.404, 0 %, 0 %, 3 MiB, 46068 MiB, 31.95 W
2026/03/29 19:30:29.405, 0 %, 0 %, 3 MiB, 46068 MiB, 31.69 W
2026/03/29 19:30:39.406, 0 %, 0 %, 3 MiB, 46068 MiB, 32.07 W
2026/03/29 19:30:49.407, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:30:59.408, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:31:09.408, 0 %, 0 %, 3 MiB, 46068 MiB, 31.71 W
2026/03/29 19:31:19.409, 0 %, 0 %, 3 MiB, 46068 MiB, 31.92 W
2026/03/29 19:31:29.410, 0 %, 0 %, 3 MiB, 46068 MiB, 31.69 W
2026/03/29 19:31:39.411, 0 %, 0 %, 3 MiB, 46068 MiB, 31.55 W
2026/03/29 19:31:49.412, 0 %, 0 %, 3 MiB, 46068 MiB, 31.70 W
2026/03/29 19:31:59.413, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:32:09.414, 0 %, 0 %, 3 MiB, 46068 MiB, 31.81 W
2026/03/29 19:32:19.415, 0 %, 0 %, 3 MiB, 46068 MiB, 31.67 W
2026/03/29 19:32:29.416, 0 %, 0 %, 3 MiB, 46068 MiB, 31.87 W
2026/03/29 19:32:39.417, 0 %, 0 %, 3 MiB, 46068 MiB, 31.64 W
2026/03/29 19:32:49.418, 0 %, 0 %, 3 MiB, 46068 MiB, 31.87 W
2026/03/29 19:32:59.419, 0 %, 0 %, 3 MiB, 46068 MiB, 31.42 W
2026/03/29 19:33:09.420, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:33:19.421, 0 %, 0 %, 3 MiB, 46068 MiB, 31.70 W
2026/03/29 19:33:29.422, 0 %, 0 %, 3 MiB, 46068 MiB, 31.70 W
2026/03/29 19:33:39.423, 0 %, 0 %, 3 MiB, 46068 MiB, 31.94 W
2026/03/29 19:33:49.424, 0 %, 0 %, 3 MiB, 46068 MiB, 31.91 W
2026/03/29 19:33:59.425, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:34:09.426, 0 %, 0 %, 3 MiB, 46068 MiB, 31.53 W
2026/03/29 19:34:19.427, 0 %, 0 %, 3 MiB, 46068 MiB, 31.71 W
2026/03/29 19:34:29.428, 0 %, 0 %, 3 MiB, 46068 MiB, 31.79 W
2026/03/29 19:34:39.428, 0 %, 0 %, 3 MiB, 46068 MiB, 31.76 W
2026/03/29 19:34:49.429, 0 %, 0 %, 3 MiB, 46068 MiB, 31.96 W
2026/03/29 19:34:59.430, 0 %, 0 %, 3 MiB, 46068 MiB, 31.87 W
2026/03/29 19:35:09.431, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:35:19.432, 0 %, 0 %, 3 MiB, 46068 MiB, 31.79 W
2026/03/29 19:35:29.433, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 19:35:39.434, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:35:49.435, 0 %, 0 %, 3 MiB, 46068 MiB, 31.99 W
2026/03/29 19:35:59.436, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
